"name","latitude","longitude"
"East Building","33.9979122267275","-118.443034711095"
"West Building","33.9971428758579","-118.444602929949"
"Cunningham Building","33.9976791862805","-118.444635116778"
"Far West Building","33.9968506263033","-118.445136995011"
"Walgrove Building","33.9960563234399","-118.444925697167"
"East Gym","33.9974508043171","-118.442628396577"
"West Gym","33.9955514384407","-118.44372755201"
"Shop Buildings","33.9962847991464","-118.444300659193"
"Admin Building","33.9975125877013","-118.443886242237"
"Pool","33.9951966998583","-118.444352232183"
