"number","building","floor","altid"
"2","","",""
"3","","",""
"7","","",""
"9","","",""
"10","","",""
"11","","",""
"12","","",""
"13","","",""
"14","","",""
"30","","",""
"31","","",""
"37","","",""
"38","","",""
"51","","",""
"52","","",""
"53","","",""
"54","","",""
"103","East Building","1",""
"104","East Building","1",""
"104A","East Building","1",""
"107","East Building","1",""
"108","East Building","1",""
"108","East Building","1",""
"109","East Building","1",""
"110","East Building","1",""
"111","East Building","1",""
"112","East Building","1",""
"113","East Building","1",""
"118","West Building","1",""
"120","West Building","1",""
"122","West Building","1",""
"124","West Building","1",""
"125","West Building","1",""
"130","Cunningham Building","1",""
"131","Cunningham Building","1",""
"132","Cunningham Building","1",""
"133","Cunningham Building","1",""
"134","Cunningham Building","1",""
"135","Cunningham Building","1",""
"136","Cunningham Building","1",""
"137","Cunningham Building","1",""
"138","Cunningham Building","1",""
"144","Far West Building","1",""
"151","Walgrove Building","1",""
"152","Walgrove Building","1",""
"153","Walgrove Building","1",""
"154","Walgrove Building","1",""
"203","East Building","2",""
"204","East Building","2",""
"207","East Building","2",""
"208","East Building","2",""
"212","East Building","2",""
"213","East Building","2",""
"217","West Building","2",""
"220","West Building","2",""
"221","West Building","2",""
"222","West Building","2",""
"223","West Building","2",""
"224","West Building","2",""
"225","West Building","2",""
"230","Cunningham Building","2",""
"232","Cunningham Building","2",""
"233","Cunningham Building","2",""
"234","Cunningham Building","2",""
"235","Cunningham Building","2",""
"236","Cunningham Building","2",""
"237","Cunningham Building","2",""
"240","Far West Building","2",""
"241","Far West Building","2",""
"243","Far West Building","2",""
"244","Far West Building","2",""
"245","Far West Building","2",""
"246","Far West Building","2",""
"247","Far West Building","2",""
"251","Walgrove Building","2",""
"252","Walgrove Building","2",""
"253","Walgrove Building","2",""
"254","Walgrove Building","2",""
"Dean","Admin Building","1","Dean"
"EGKK","East Gym","","East Gym"
"EGSS","East Gym","","East Gym"
"EGYM","East Gym","","East Gym"
"Library","Admin Building","2","Library"
"Magnet Office","Admin Building","2","Magnet Office"
"Main Office","Admin Building","2","Main Office"
"Pool","Pool","","Pool"
"Student Store","West Building","1","Student Store"
"S2","Shop Buildings","","Shop 2"
"S4","Shop Buildings","","Shop 4"
"S6","Shop Buildings","","Shop 6"
"S7","Shop Buildings","","Shop 7"
"S9","Shop Buildings","","Shop 9"
"WGAG","West Gym","","West Gym"
"WGAH","West Gym","","West Gym"
"WGDS","West Gym","","West Gym"
"WGRM","West Gym","","West Gym"
